slang,formal
Cma itu yang bisa gue kasih,Cuma itu yang bisa aku kasih.
Tak mungkin gue lupain kejadian itu,Tidak mungkin aku lupakan kejadian itu.
Met ulang tahun ya bro,Selamat ulang tahun ya bro.
Miskom bisa bikin berantem,Salah komunikasi bisa bikin berantem.
Mager banget gue keluar rumah,Malas sekali aku keluar rumah.
Aq pengen makan yang pedes-pedes,Aku pengen makan yang pedas-pedas.
Pgn cepet-cepet liburan aja,Pengen cepat-cepat liburan saja.
Mumet banget gue mikirin kerjaan,Pusing sekali aku memikirkan kerjaan.
@rumah aja gue hari ini,Di rumah aja aku hari ini.
Adlh hal yang wajar kalo kita salah,Adalah hal yang wajar kalau kita salah.
Afaik sih dia baik orangnya,As far as i know sih dia baik orangnya.
Ahaha lucu banget sih lo,Haha lucu sekali sih kamu.
Aj gue lupa bawa dompet,Aku lupa bawa dompet.
Ajep-ajep mulu kerjaan lo,Dunia gemerlap mulu kerjaan kamu.
Akika mau pergi sama temen-temen,Aku mau pergi sama teman-teman.
Akkoh gak bisa dateng hari ini,Aku tidak bisa datang hari ini.
Akuwh lagi sibuk banget sekarang,Aku lagi sibuk sekali sekarang.
Alay banget sih gaya lo itu,Norak sekali sih gaya kamu itu.
Alow guys apa kabar semuanya,Halo guys apa kabar semuanya.
Ambilin buku gue di atas meja,Ambilkan buku aku di atas meja.
Ancur banget nih hati gue sekarang,Hancur sekali nih hati aku sekarang.
Anjrit keren banget mobil baru lo,Keren sekali mobil baru kamu.
Anter gue pulang dong udah malem,Antar aku pulang dong sudah malam.
Ap2 sih yang lo ributin dari tadi,Apa-apa sih yang kamu ributkan dari tadi.
Aps sih yang lo mau dari gue,Apa sih yang kamu mau dari aku.
Aquwh gak bisa ikut acara itu,Aku tidak bisa ikut acara itu.
Asbun aja lo kalo gak tau apa-apa,Asal bunyi aja kamu kalau tidak tahu apa-apa.
Aseekk akhirnya bisa liburan juga,Asyik akhirnya bisa liburan juga.
Asekk banget sih tempat ini,Asyik sekali sih tempat ini.
Asem banget nih mulut gue abis makan mangga,Asam sekali nih mulut aku habis makan mangga.
Aspal banget nih barang yang lo beli,Asli tapi palsu sekali nih barang yang kamu beli.
Astul banget nih tulisan tangan lo,Asal tulis sekali nih tulisan tangan kamu.
Au ah gue gak mau tau lagi,Aku tidak mau tahu lagi.
Awak mau pergi kemana hari ini,Saya mau pergi kemana hari ini.
Ay jangan lupa makan ya sayang,Sayang jangan lupa makan ya sayang.
Ayank kamu lagi ngapain sekarang,Sayang kamu lagi ngapain sekarang.
B4 gue pergi gue mau pamit dulu,Sebelum aku pergi aku mau pamit dulu.
Bakalan seru nih acara nanti malem,Akan seru nih acara nanti malam.
Bandes di desa gue udah cair,Bantuan desa di desa aku sudah cair.
Bangedh nih macetnya hari ini,sekali nih macetnya hari ini.
Banpol lagi patroli di sekitar sini,Bantuan polisi lagi patroli di sekitar sini.
Banpur udah siap siaga di perbatasan,Bantuan tempur udah siap siaga di perbatasan.
Basbang banget nih makanan udah lama,Basi sekali nih makanan udah lama.
Bcanda aja gue tadi jangan marah ya,Bercanda aja aku tadi jangan marah ya.
Bdg emang kota yang indah banget,Bandung memang kota yang indah sekali.
Begajulan banget sih anak-anak sekarang,Nakal sekali sih anak-anak sekarang.
Beliin gue makanan dong laper banget,Belikan aku makanan dong lapar sekali.
Bencong itu emang suka cari perhatian,Banci itu memang suka cari perhatian.
Bentar ya gue lagi siap-siap dulu,Sebentar ya aku lagi siap-siap dulu.
Ber3 aja kita pergi biar seru,Bertiga aja kita pergi biar seru.
Beresin kamar lo dong udah berantakan,Membereskan kamar kamu dong udah berantakan.
Bete banget gue dirumah terus,Bosan sekali aku di rumah terus.
Beud dah pokoknya hari ini,sekali dah pokoknya hari ini.
Bg tolong ambilin minum dong haus banget,Mas tolong ambilkan minum dong haus sekali.
Bgmn caranya gue bisa dapetin dia,Bagaimana caranya aku bisa mendapatkan dia.
Bijimane caranya gue bisa kesana,Bagaimana caranya aku bisa ke sana.
Bintal itu penting buat diri kita,Bimbingan mental itu penting buat diri kita.
Bkl ada acara seru nanti malem,Akan ada acara seru nanti malam.
Bknnya gue gak mau tapi emang gak bisa,Bukannya aku gak mau tapi emang gak bisa.
Blegug banget sih lo bisa lupa,Bodoh sekali sih kamu bisa lupa.
Bih boleh gue ikut acara itu,Boleh aku ikut acara itu.
Bin udah masuk bulan puasa lagi,Bulan udah masuk bulan puasa lagi.
Blum selesai nih tugas gue masih banyak,Belum selesai nih tugas aku masih banyak.
Bnci banget gue sama tuh orang,Benci sekali aku sama orang itu.
Bnran nih lo gak bohong sama gue,Yang benar nih kamu gak bohong sama aku.
Bodor banget sih lawakan lo itu,Lucu sekali sih lawakan kamu itu.
Bokap gue lagi pergi keluar kota,Ayah aku lagi pergi keluar kota.
Boker dulu gue kebelet banget,Buang air besar dulu aku kebelet sekali.
Bokis banget sih lo suka bohong,Bohong sekali sih kamu suka bohong.
Boljug nih ide lo buat liburan,Boleh juga nih ide kamu buat liburan.
Bonek itu emang nekat-nekat orangnya,Bocah nekat itu emang nekat-nekat orangnya.
Boyeh deh gue ikut acara itu,Boleh deh aku ikut acara itu.
Br dateng nih gue dari rumah temen,Baru datang nih aku dari rumah teman.
Brg yuk kita pergi ke pantai,Bareng yuk kita pergi ke pantai.
Bro apa kabar lo sekarang,Saudara laki-laki apa kabar kamu sekarang.
Bru selesai nih tugas gue akhirnya,Baru selesai nih tugas aku akhirnya.
Bsen banget gue dirumah terus,Bosan sekali aku di rumah terus.
Bt apa sih lo dari tadi diem aja,Buat apa sih kamu dari tadi diam saja.
Btw gue mau nanya nih sama lo,Ngomong-ngomong aku mau nanya nih sama kamu.
Buaya banget sih lo suka selingkuh,Tidak setia sekali sih kamu suka selingkuh.
Bubbu yuk udah malem nih,Tidur yuk udah malam nih.
Bubu udah malem nih waktunya tidur,Tidur udah malam nih waktunya tidur.
Bumil itu harus banyak istirahat,Ibu hamil itu harus banyak istirahat.
Bw barang lo sendiri ya gue gak mau ribet,Bawa barang kamu sendiri ya aku gak mau ribet.
Bwt apa sih lo beli barang itu,Buat apa sih kamu beli barang itu.
Byk banget sih tugas hari ini,Banyak sekali sih tugas hari ini.
Byrin makanan gue dong laper banget,Bayarkan makanan aku dong lapar sekali.
Cabal ya gue tau ini berat buat lo,Sabar ya aku tahu ini berat buat kamu.
Cadas banget sih penampilan lo malem ini,Keren sekali sih penampilan kamu malam ini.
Calo itu emang suka cari untung,Makelar itu emang suka cari untung.
Can selesai nih tugas gue masih banyak,Belum selesai nih tugas aku masih banyak.
Capcus yuk kita pergi dari sini,Pergi yuk kita pergi dari sini.
Caper banget sih lo pengen diperhatiin,Cari perhatian sekali sih kamu pengen diperhatikan.
Ce itu emang suka gosip banget,Cewek itu emang suka gosip sekali.
Cekal aja tuh orang biar gak bisa kemana-mana,Cegah tangkal aja orang itu biar gak bisa kemana-mana.
Cepet banget sih lo dateng,Cepat sekali sih kamu datang
Cewe itu emang suka diperhatiin,Wanita itu emang suka diperhatiin
Cgan banget sih cowo yang itu,Ganteng sekali sih cowok yang itu
Ckckck parah banget sih kelakuan lo,Ckckck parah sekali sih kelakuan kamu
Cm gue doang yang bisa ngertiin lo,Cuma aku doang yang bisa mengertiin kamu
Cma segini doang yang gue punya,Cuma segini doang yang aku punya
Cmiiw ya kalo ada salah kata,Correct me if i wrong ya kalo ada salah kata
Cmn lo doang yang ada di hati gue,Cuma kamu doang yang ada di hati aku
Coba deh lo dengerin lagu ini enak banget,Coba deh kamu dengerin lagu ini enak sekali
Cpet banget sih waktu berlalu,Cepat sekali sih waktu berlalu
Cpetan dong gue udah laper banget,Cepetan dong aku udah laper sekali
Cpetan ya gue udah nungguin dari tadi,Cepetan ya aku udah nungguin dari tadi
Cpi banget sih harga makanan disini,Murah sekali sih harga makanan di sini
Cpk banget gue hari ini pengen istirahat,Capek sekali aku hari ini pengen istirahat
Cpt pulang ya gue udah kangen banget,Cepat pulang ya aku udah kangen sekali
Cpt sembuh ya buat lo yang lagi sakit,Cepat sembuh ya buat kamu yang lagi sakit
Cringey banget sih gaya lo itu,Norak sekali sih gaya kamu itu
Cuma lo doang yang gue sayangin,Cuma kamu doang yang aku sayangi
Cuti dulu gue mau refreshing,Cuti dulu aku mau refreshing
Cw itu emang suka banget belanja,Cewek itu emang suka sekali belanja
Cwo itu emang suka banget main game,Cowok itu emang suka sekali main game
Cwo itu emang suka banget sama bola,Cowok itu emang suka sekali sama bola
Dah lama banget ya kita gak ketemu,Sudah lama sekali ya kita gak ketemu
Dah malem nih gue mau balik dulu,Sudah malam nih aku mau balik dulu
Dah pada tau belom kabar terbaru ini,Sudah pada tau belum kabar terbaru ini
Dahsyat banget sih penampilan lo tadi,Hebat sekali sih penampilan kamu tadi
Damat banget sih gue sama dia,Dekat sekali sih aku sama dia
Dan gue baru sadar kalo dia itu,Dan aku baru sadar kalau dia itu
Gue lagi mager banget hari ini,Saya sedang malas sekali hari ini.
Lu nonton yutub apa semalem?,Kamu menonton Youtube apa semalam?
Otw ke rumah temen gue sekarang,Saya sedang menuju rumah teman sekarang.
Ak gatau kalo lu dah nonton itu,Aku tidak tahu kalau kamu sudah menonton itu.
Bsk kita nongkrong yok di cafe,Besok kita nongkrong yuk di kafe.
Jan lupa donlot film baru ya,Jangan lupa mengunduh film baru ya.
Gegara macet gue jadi telat,Gara-gara macet saya jadi terlambat.
Apaan sih lu lebay banget,Apa sih kamu berlebihan sekali.
Gak ada kerjaan bosen banget,Tidak ada pekerjaan bosan sekali.
Anjir filmnya keren banget,Filmnya keren sekali.
Ajiggg itu orang ngeselin banget,Orang itu menyebalkan sekali.
Apaan sih yang lo omongin itu,Apa sih yang kamu bicarakan itu.
Gue mlooo disuruh belajar terus,Saya terus disuruh belajar.
Grgr tugas numpuk jadi stress,Gara-gara tugas menumpuk jadi stres.
Smt ini bener-bener capek,Semester ini benar-benar capek.
Ttp semangat ya guys,Tetap semangat ya teman-teman.
Yok kita hangout abis ini,Yuk kita hangout setelah ini.
Beritane di tv makin serem,Beritanya di TV makin seram.
Nurut2 aja apa kata guru,Nurut-nurut saja apa kata guru.
Wa gue error dari tadi,Whatsapp saya error dari tadi.
Mapel matematika emang susah,Mata pelajaran matematika memang susah.
Ni buku keknya menarik buat dibaca,Buku ini sepertinya menarik untuk dibaca.
Bosen banget dirumah terus,Bosan sekali di rumah terus.
Capek banget abis olahraga,Cape sekali setelah olahraga.
Bego banget sih gue bisa lupa,Bodoh sekali sih aku bisa lupa.
Kagak ada yang mau nemenin gue,Tidak ada yang mau menemani saya.
Kesel banget gue sama dia,Kesal sekali saya sama dia.
Bang tolong pesenin kopi satu,Mas tolong pesankan kopi satu.
Ak pengen cepet-cepet lulus,Aku ingin cepat-cepat lulus.
Gue sma dia udah lama temenan,Aku sama dia sudah lama berteman.
Tbtb dia ngilang tanpa kabar,Tiba-tiba dia menghilang tanpa kabar.
Wasap gue error nih hari ini,Whatsapp saya error nih hari ini.
Anjir ngakak banget gue liat itu,Aku tertawa terbahak-bahak melihat itu.
Gue pen cepet pulang aja,Aku ingin cepat pulang saja.
Offline aja deh biar seru,Luring saja deh biar seru.
Dasar2nya harus kuat dulu,Dasar-dasarnya harus kuat dulu.
Walhasil gue jadi telat dateng,Hasilnya saya jadi terlambat datang.
Semuga kita semua sehat selalu,Semoga kita semua sehat selalu.
Terus2an aja ujan dari pagi,Terus-terusan saja hujan dari pagi.
Gaes jangan lupa tugas ya,Teman-teman jangan lupa tugas ya.
Cm itu doang yang gue mau,Cuma itu saja yang aku mau.
Babay semuanya gue cabut dulu,Selamat tinggal semuanya saya pergi dulu.
Ntah kenapa gue jadi sedih gini,Entah kenapa aku jadi sedih begini.
Diruma aja gue seharian ini,Di rumah saja aku seharian ini.
Gtau deh gue harus gimana,Tidak tahu deh aku harus bagaimana.
Anjai keren banget penampilan lo,Keren sekali penampilan kamu.
G ada yang bisa gue lakuin,Tidak ada yang bisa aku lakukan.
Samsek gue gak ngerti,Sama sekali aku tidak mengerti.
Ppt gue belom selesai nih,Slide presentasi saya belum selesai nih.
Gada sinyal disini syalan,Tidak ada sinyal di sini sialan.
Quiz nya susah banget tadi,Kuisnya susah sekali tadi.
Puyeng banget gue mikirin tugas,Pusing sekali aku memikirkan tugas.
Receh banget lawakan lo,Tidak menarik sekali lawakan kamu.
Krn ujan jadi mager keluar,Karena hujan jadi malas keluar.
Bget dah pokoknya hari ini,sekali deh pokoknya hari ini.
Quota gue abis buat download film,Kuota saya habis untuk mengunduh film.
E learning bikin puyeng kepala,Pembelajaran daring bikin pusing kepala.
Mtk emang pelajaran paling susah,Matematika memang pelajaran paling susah.
Ansos banget sih lo dirumah terus,Anti sosial sekali sih kamu di rumah terus.
Yutub gue error nih gak bisa buffering,Youtube saya error nih gak bisa buffering.
Masalh ini bikin gue pusing,Masalah ini bikin aku pusing.
Game baru ini seru banget,Permainan baru ini seru sekali.
Sy gak suka pelajaran ini,Saya tidak suka pelajaran ini.
Sprt nya kita harus belajar kelompok,Sepertinya kita harus belajar kelompok.
Ketrbtsn waktu bikin gue stress,Keterbatasan waktu bikin aku stres.
Kyk nya gue kenal sama dia,Sepertinya aku kenal sama dia.
Kayak nya besok ujan lagi,Sepertinya besok hujan lagi.
Tjukup sekian materi hari ini,Cukup sekian materi hari ini.
Bs kali kita pergi liburan bareng,Bisa kali kita pergi liburan bareng.
Stay dirumah aja biar aman,Tinggal di rumah saja biar aman.
Cri makan enak dimana ya malem ini,Cari makan enak di mana ya malam ini.
Ttng kejadian semalem jangan sampe lupa,Tentang kejadian semalam jangan sampai lupa.
Ajg ngeselin banget tuh orang,Orang itu menyebalkan sekali.
Sekolah2 pada libur gegara corona,Sekolah-sekolah pada libur gara-gara corona.
Aing mah apa atuh cuma bisa pasrah,Aku mah apa atuh cuma bisa pasrah.
Sama2 ya udah gue bantuin,Sama-sama ya sudah aku bantu.
Kea nya dia suka sama lo,Sepertinya dia suka sama kamu.
Ato gak kita pergi besok aja,Atau tidak kita pergi besok saja.
Demen banget gue sama lagu ini,Suka sekali aku sama lagu ini.
F2f emang lebih enak daripada online,Tatap muka memang lebih enak daripada daring.
Igsng aja gue kirim sekarang,Langsung saja aku kirim sekarang.
Ngirim tugasnya lewat email aja,Mengirim tugasnya lewat email saja.
Smpe sekarang gue masih bingung,Sampai sekarang aku masih bingung.
Typo mulu gue kalo ngetik cepet,Salah penulisan terus aku kalau mengetik cepat.
Krna maunya sekarang ya sekarang,Karena maunya sekarang ya sekarang.
Cma itu yang bisa gue kasih,Cuma itu yang bisa aku berikan.
Tak mungkin gue lupain kejadian itu,Tidak mungkin aku lupakan kejadian itu.
Met ulang tahun ya bro,Selamat ulang tahun ya bro.
Miskom bisa bikin berantem,Salah komunikasi bisa bikin berantem.
Mager banget gue keluar rumah,Malas sekali aku keluar rumah.
Aq pengen makan yang pedes-pedes,Aku ingin makan yang pedas-pedas.
Pgn cepet-cepet liburan aja,Ingin cepat-cepat liburan saja.
Mumet banget gue mikirin kerjaan,Pusing sekali aku memikirkan pekerjaan.
@rumah aja gue hari ini,Di rumah saja aku hari ini.
Adlh hal yang wajar kalo kita salah,Adalah hal yang wajar kalau kita salah.
Afaik sih dia baik orangnya,As far as i know sih dia baik orangnya.
Ahaha lucu banget sih lo,Haha lucu sekali sih kamu.
Aj gue lupa bawa dompet,Aku lupa bawa dompet.
Ajep-ajep mulu kerjaan lo,Dunia gemerlap terus kerjaan kamu.
Akika mau pergi sama temen-temen,Aku mau pergi sama teman-teman.
Akkoh gak bisa dateng hari ini,Aku tidak bisa datang hari ini.
Akuwh lagi sibuk banget sekarang,Aku lagi sibuk sekali sekarang.
Alay banget sih gaya lo itu,Norak sekali sih gaya kamu itu.
Alow guys apa kabar semuanya,Halo teman-teman apa kabar semuanya.
Ambilin buku gue di atas meja,Ambilkan buku aku di atas meja.
Ancur banget nih hati gue sekarang,Hancur sekali nih hati aku sekarang.
Anjrit keren banget mobil baru lo,Keren sekali mobil baru kamu.
Anter gue pulang dong udah malem,Antar aku pulang dong sudah malam.
Ap2 sih yang lo ributin dari tadi,Apa-apa sih yang kamu ributkan dari tadi.
Apasih yang lo mau dari gue,Apa sih yang kamu mau dari aku.
Aquwh gak bisa ikut acara itu,Aku tidak bisa ikut acara itu.
Asbun aja lo kalo gak tau apa-apa,Asal bunyi saja kamu kalau tidak tahu apa-apa.
Aseekk akhirnya bisa liburan juga,Asyik akhirnya bisa liburan juga.
Asekk banget sih tempat ini,Asyik sekali sih tempat ini.
Asem banget nih mulut gue abis makan mangga,Asam sekali nih mulut aku habis makan mangga.
Aspal banget nih barang yang lo beli,Asli tetapi palsu sekali nih barang yang kamu beli.
Astul banget nih tulisan tangan lo,Asal tulis sekali nih tulisan tangan kamu.
Au ah gue gak mau tau lagi,Aku tidak mau tahu lagi.
Awak mau pergi kemana hari ini,Saya mau pergi kemana hari ini.
Ay jangan lupa makan ya sayang,Sayang jangan lupa makan ya sayang.
Ayank kamu lagi ngapain sekarang,Sayang kamu lagi ngapain sekarang.
B4 gue pergi gue mau pamit dulu,Sebelum aku pergi aku mau pamit dulu.
Bakalan seru nih acara nanti malem,Akan seru nih acara nanti malam.
Bandes di desa gue udah cair,Bantuan desa di desa aku sudah cair.
Bangedh nih macetnya hari ini,sekali nih macetnya hari ini.
Banpol lagi patroli di sekitar sini,Bantuan polisi lagi patroli di sekitar sini.
Banpur udah siap siaga di perbatasan,Bantuan tempur udah siap siaga di perbatasan.
Basbang banget nih makanan udah lama,Basi sekali nih makanan udah lama.
Bcanda aja gue tadi jangan marah ya,Bercanda saja aku tadi jangan marah ya.
Bdg emang kota yang indah banget,Bandung memang kota yang indah sekali.
Begajulan banget sih anak-anak sekarang,Nakal sekali sih anak-anak sekarang.
Beliin gue makanan dong laper banget,Belikan aku makanan dong lapar sekali.
Bencong itu emang suka cari perhatian,Banci itu memang suka cari perhatian.
Bentar ya gue lagi siap-siap dulu,Sebentar ya aku lagi siap-siap dulu.
Ber3 aja kita pergi biar seru,Bertiga saja kita pergi biar seru.
Beresin kamar lo dong udah berantakan,Membereskan kamar kamu dong udah berantakan.
Bete banget gue dirumah terus,Bosan sekali aku di rumah terus.
Beud dah pokoknya hari ini,sekali deh pokoknya hari ini.
Bg tolong ambilin minum dong haus banget,Mas tolong ambilkan minum dong haus sekali.
Bgmn caranya gue bisa dapetin dia,Bagaimana caranya aku bisa mendapatkan dia.
Bijimane caranya gue bisa kesana,Bagaimana caranya aku bisa ke sana.
Bintal itu penting buat diri kita,Bimbingan mental itu penting buat diri kita.
Bkl ada acara seru nanti malem,Akan ada acara seru nanti malam.
Bknnya gue gak mau tapi emang gak bisa,Bukannya aku gak mau tapi emang gak bisa.
Blegug banget sih lo bisa lupa,Bodoh sekali sih kamu bisa lupa.
Bih boleh gue ikut acara itu,Boleh aku ikut acara itu.
Bin udah masuk bulan puasa lagi,Bulan udah masuk bulan puasa lagi.
Blum selesai nih tugas gue masih banyak,Belum selesai nih tugas aku masih banyak.
Bnci banget gue sama tuh orang,Benci sekali aku sama orang itu.
Bnran nih lo gak bohong sama gue,Benar nih kamu gak bohong sama aku.
Bodor banget sih lawakan lo itu,Lucu sekali sih lawakan kamu itu.
Bokap gue lagi pergi keluar kota,Ayah aku lagi pergi keluar kota.
Boker dulu gue kebelet banget,Buang air besar dulu aku kebelet sekali.
Bokis banget sih lo suka bohong,Bohong sekali sih kamu suka bohong.
Boljug nih ide lo buat liburan,Boleh juga nih ide kamu buat liburan.
Bonek itu emang nekat-nekat orangnya,Bocah nekat itu emang nekat-nekat orangnya.
Boyeh deh gue ikut acara itu,Boleh deh aku ikut acara itu.
Br dateng nih gue dari rumah temen,Baru datang nih aku dari rumah teman.
Brg yuk kita pergi ke pantai,Bareng yuk kita pergi ke pantai.
Bro apa kabar lo sekarang,Saudara laki-laki apa kabar kamu sekarang.
Bru selesai nih tugas gue akhirnya,Baru selesai nih tugas aku akhirnya.
Bsen banget gue dirumah terus,Bosan sekali aku di rumah terus.
Bt apa sih lo dari tadi diem aja,Buat apa sih kamu dari tadi diam saja.
Btw gue mau nanya nih sama lo,Ngomong-ngomong aku mau
BTW gue mau nanya nih sama lo,Ngomong-ngomong aku mau bertanya nih sama kamu.
Buaya banget sih lo suka selingkuh,Tidak setia sekali sih kamu suka selingkuh.
Bubbu yuk udah malem nih,Tidur yuk udah malam nih.
Bubbu udah malem nih waktunya tidur,Tidur udah malam nih waktunya tidur.
Bumil itu harus banyak istirahat,Ibu hamil itu harus banyak istirahat.
Bw barang lo sendiri ya gue gak mau ribet,Bawa barang kamu sendiri ya aku gak mau ribet.
